Vendor,App,
Cisco,Cisco Webex Meetings Server,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Evolved Programmable Network Manager,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Integrated Management Controller (IMC) Supervisor,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Intersight Virtual Appliance,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco UCS Director,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Unified Contact Center Enterprise - Live Data server,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Video Surveillance Operations Manager,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Unified Communications Manager Cloud,https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
Cisco,Cisco Webex Cloud-Connected UC (CCUC),https://tools.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-apache-log4j-qRuKNEbd
F-Secure,F-Secure Policy Manager,https://status.f-secure.com/incidents/sk8vmr0h34pd
F-Secure,F-Secure Policy Manager for Linux,https://status.f-secure.com/incidents/sk8vmr0h34pd
F-Secure,F-Secure Policy Manager Proxy,https://status.f-secure.com/incidents/sk8vmr0h34pd
F-Secure,F-Secure Policy Manager Proxy for Linux,https://status.f-secure.com/incidents/sk8vmr0h34pd
F-Secure,F-Secure Endpoint Proxy,https://status.f-secure.com/incidents/sk8vmr0h34pd
Apereo,Apereo CAS,https://apereo.github.io/2021/12/11/log4j-vuln/
Checkpoint,Quantum Security Management,https://community.checkpoint.com/t5/General-Topics/CVE-2021-44228-Log4j-vulnerability-Log4Shell/m-p/136006
Connect2id,server,https://connect2id.com/blog/connect2id-server-12-5-1
Contrast Security,self hosted,https://support.contrastsecurity.com/hc/en-us/articles/4412612486548
Contrast Security,cloud,https://support.contrastsecurity.com/hc/en-us/articles/4412612486548
Dynatrace,Dynatrace Synthetic Chromium,https://community.dynatrace.com/t5/Dynatrace-Open-Q-A/Impact-of-log4j-zero-day-vulnerability/m-p/177292
Forcepoint,Security manager,https://support.forcepoint.com/s/article/CVE-2021-44228-Java-log4j-vulnerability-mitigation-with-NGFW-Security-Management-Center
Forcepoint,DLP Manager,https://support.forcepoint.com/s/article/CVE-2021-44228-Java-log4j-vulnerability-mitigation-with-NGFW-Security-Management-Center
GoAnywhere,GoAnywhere,https://www.goanywhere.com/cve-2021-44228-goanywhere-mitigation-steps
Graylog,Graylog,https://www.graylog.org/post/graylog-update-for-log4j
JAMF,JAMF Pro,https://community.jamf.com/t5/jamf-pro/third-party-security-issue/td-p/253740
n-able,Risk Intelligence,https://www.n-able.com/security-and-privacy/apache-log4j-vulnerability
n-able,N-able RMM,https://www.n-able.com/security-and-privacy/apache-log4j-vulnerability
Okta,Radius Server Agent,https://sec.okta.com/articles/2021/12/log4shell
Okta,On-Prem MFA Agent,https://sec.okta.com/articles/2021/12/log4shell
opennms,opennms,https://www.opennms.com/en/blog/2021-12-10-opennms-products-affected-by-apache-log4j-vulnerability-cve-2021-44228/
pagerduty,rundeck,https://docs.rundeck.com/docs/history/CVEs/
puppet,Puppet Enterprise,https://puppet.com/blog/puppet-response-to-remote-code-execution-vulnerability-cve-2021-44228/
Puresorage,Portworx ,https://support.purestorage.com/Field_Bulletins/Interim_Security_Advisory_Regarding_CVE-2021-44228_(%22log4j%22)
RSA,SecureID Authentication Manager,https://community.rsa.com/t5/general-security-advisories-and/rsa-customer-advisory-apache-vulnerability-log4j2-cve-2021-44228/ta-p/660501
Sophos,Cloud Optix,https://www.sophos.com/en-us/security-advisories/sophos-sa-20211210-log4j-rce
Splunk,Splunk,https://www.splunk.com/en_us/blog/bulletins/splunk-security-advisory-for-apache-log4j-cve-2021-44228.html
Wowza,Wowza Streaming engine,https://www.wowza.com/docs/known-issues-with-wowza-streaming-engine#log4j2-cve
